"publicaddress","controlnbr","CCN","Precinct","ReportedDate","BeginDate","Time","Offense","Description","UCRCode","EnteredDate","Long","Lat","x","y","Neighborhood","lastchanged","LastUpdateDate","OBJECTID","ESRI_OID"
"0015XX Nicollet AV S",2028,"MP 2010 050243",1,"2010-02-22T23:26:00.000Z","2010-02-22T21:40:00.000Z","21:40:00","AUTOTH","Motor Vehicle Theft",8,"2010-02-22T23:25:58.000Z",-93.277107,44.96788,527495.232498,164470.426859,"LORING PARK","2010-03-02T14:47:00.000Z","2015-09-21T14:16:59.000Z",,
"0027XX Sheridan AV N",2029,"MP 2010 050235",4,"2010-02-22T23:40:00.000Z","2010-02-22T18:10:00.000Z","18:10:00","BURGD","Burglary Of Dwelling",6,"2010-02-22T23:40:43.000Z",-93.311691,45.008511,518530.636985,179275.315819,"JORDAN","2010-02-23T00:48:08.000Z","2015-09-21T14:16:59.000Z",,
"32 ST W / Lyndale AV S",2030,"MP 2010 050288",5,"2010-02-23T00:15:00.000Z","2010-02-19T22:00:00.000Z","22:00:00","TMVP","Theft-motr Veh Parts",7,"2010-02-23T00:16:01.000Z",-93.288139,44.944729,524649.298115,156027.00956,"LYNDALE","2010-02-25T09:31:31.000Z","2015-09-21T14:16:59.000Z",,
"27 ST E / Bloomington AV S",2031,"MP 2010 050344",3,"2010-02-23T00:37:00.000Z","2010-02-22T23:30:00.000Z","23:30:00","ROBPER","Robbery Of Person",4,"2010-02-23T00:37:22.000Z",-93.252457,44.953739,533883.988837,159324.33477,"MIDTOWN PHILLIPS","2010-02-23T09:28:32.000Z","2015-09-21T14:16:59.000Z",,
"21 AV N / Newton AV N",2032,"MP 2010 050326",4,"2010-02-23T01:15:00.000Z","2010-02-23T00:05:00.000Z","00:05:00","ASLT2","Asslt W/dngrs Weapon",5,"2010-02-23T00:41:40.000Z",-93.305679,44.999989,520087.214776,176169.32503,"WILLARD - HAY","2010-02-23T06:33:44.000Z","2015-09-21T14:16:59.000Z",,
"18 AV NE / Johnson ST NE",2033,"MP 2010 050328",2,"2010-02-23T00:48:00.000Z","2010-02-22T23:37:00.000Z","23:37:00","ROBPAG","Robbery Per Agg",4,"2010-02-23T00:47:56.000Z",-93.23716,45.005981,537810.04718,178377.518309,"NORTHEAST PARK","2010-02-23T09:27:01.000Z","2015-09-21T14:16:59.000Z",,
"23 ST E / Cedar AV S",2034,"MP 2010 050327",3,"2010-02-23T01:15:00.000Z","2010-02-22T15:30:00.000Z","15:30:00","AUTOTH","Motor Vehicle Theft",8,"2010-02-23T01:13:23.000Z",-93.246727,44.960072,535364.307943,161634.858971,"EAST PHILLIPS","2010-02-24T06:29:48.000Z","2015-09-21T14:16:59.000Z",,
"0001XX 1 ST N",2035,"MP 2010 050464",1,"2010-02-23T06:53:00.000Z","2010-02-23T06:10:00.000Z","06:10:00","BURGB","Burglary Of Business",6,"2010-02-23T06:52:23.000Z",-93.268768,44.98502,529644.873004,170723.564425,"NORTH LOOP","2010-02-23T14:24:10.000Z","2015-09-21T14:16:59.000Z",,
"0028XX 8 ST S",2036,"MP 2010 048730",1,"2010-02-23T08:00:00.000Z","2010-02-21T05:40:00.000Z","05:40:00","ARSON","Arson",10,"2010-02-23T07:59:10.000Z",-93.231071,44.965431,539413.664988,163594.397104,"CEDAR RIVERSIDE","2010-02-23T08:13:22.000Z","2015-09-21T14:16:59.000Z",,
"0033XX Columbus AV S",2037,"MP 2010 050501",3,"2010-02-23T08:30:00.000Z","2010-02-23T07:45:00.000Z","07:45:00","AUTOTH","Motor Vehicle Theft",8,"2010-02-23T08:31:40.000Z",-93.264214,44.942188,530847.625504,155106.566814,"CENTRAL","2010-02-25T11:15:30.000Z","2015-09-21T14:16:59.000Z",,
"0036XX Emerson AV N",2038,"MP 2010 050522",4,"2010-02-23T09:07:00.000Z","2010-02-23T08:50:00.000Z","08:50:00","DASTR","Domestic Assault/Strangulation",5,"2010-02-23T10:00:00.000Z",-93.293968,45.02103,523109.437995,183846.346463,"FOLWELL","2010-02-24T06:15:01.000Z","2015-09-21T14:16:59.000Z",,
"0021XX Bryant AV N",2039,"MP 2010 050531",4,"2010-02-23T10:21:00.000Z","2010-02-23T09:08:00.000Z","09:08:00","THEFT","Other Theft",7,"2010-02-23T10:20:42.000Z",-93.291458,45.00103,523766.829994,176552.690372,"HAWTHORNE","2010-02-25T12:54:17.000Z","2015-09-21T14:16:59.000Z",,
